,dt,main.temp,main.feels_like,main.pressure,main.humidity,main.temp_min,main.temp_max,wind.speed,wind.deg,wind.gust,clouds.all,weather.id,weather.main,weather.description,weather.icon,rain.1h
0,1708617600,10.79,9.83,1010,73,9.14,11.61,7.72,290,14.92,75,803,Clouds,broken clouds,04d,
1,1708621200,9.69,7.35,1010,81,8.58,11.4,4.63,290,,75,803,Clouds,broken clouds,04d,
2,1708624800,9.04,6.77,1010,84,8.03,10.44,4.12,260,,75,803,Clouds,broken clouds,04d,
3,1708628400,8.74,6.66,1010,82,7.5,10.5,3.6,250,,75,300,Drizzle,light intensity drizzle,09n,
4,1708632000,8.17,5.24,1010,84,6.92,9.38,5.14,250,,75,300,Drizzle,light intensity drizzle,09n,
5,1708635600,8.25,5.34,1010,83,7.1,9.38,5.14,230,,40,802,Clouds,scattered clouds,03n,
6,1708639200,8.17,4.86,1010,86,6.92,9.88,6.17,250,,20,801,Clouds,few clouds,02n,
7,1708642800,7.83,4.56,1010,87,6.92,8.77,5.81,280,8.05,75,803,Clouds,broken clouds,04n,
8,1708646400,7.56,4.08,1009,85,6.39,10.44,6.17,250,,40,802,Clouds,scattered clouds,03n,
9,1708650000,7.99,5.74,1008,88,6.36,10.99,3.6,280,,75,501,Rain,moderate rain,10n,0.14
10,1708653600,7.1,4.2,1009,88,5.25,9.32,4.47,315,6.71,75,803,Clouds,broken clouds,04n,
11,1708657200,7.92,5.22,1008,86,5.84,9.94,4.47,268,,40,802,Clouds,scattered clouds,03n,
12,1708660800,7.91,5.14,1008,85,5.25,9.94,4.63,270,,75,803,Clouds,broken clouds,04n,
13,1708664400,7.98,4.8,1007,86,5.81,9.94,5.66,250,,40,802,Clouds,scattered clouds,03n,
14,1708668000,7.79,4.56,1008,85,5.25,10.5,5.66,250,,20,801,Clouds,few clouds,02n,
15,1708671600,7.6,4.32,1007,86,5.25,9.94,5.66,270,,40,802,Clouds,scattered clouds,03n,
16,1708675200,8.0,5.12,1008,87,6.36,9.94,4.92,317,9.39,75,803,Clouds,broken clouds,04d,
17,1708678800,7.62,4.46,1008,84,7.16,8.78,5.36,281,,75,803,Clouds,broken clouds,04d,
18,1708682400,9.04,5.53,1009,81,8.21,11.55,7.6,325,14.31,75,803,Clouds,broken clouds,04d,
19,1708686000,10.42,9.55,1008,78,8.77,11.61,6.17,280,,75,803,Clouds,broken clouds,04d,
20,1708689600,9.92,6.38,1009,76,8.06,11.4,8.75,270,16.98,75,803,Clouds,broken clouds,04d,
21,1708693200,10.51,9.6,1008,76,9.96,10.84,8.49,320,13.86,75,803,Clouds,broken clouds,04d,
22,1708696800,9.96,6.56,1008,80,8.21,11.61,8.23,300,14.92,40,802,Clouds,scattered clouds,03d,
23,1708700400,9.84,6.41,1008,79,8.21,11.61,8.23,290,15.95,40,802,Clouds,scattered clouds,03d,
24,1708704000,10.14,9.19,1008,76,9.41,10.5,8.23,300,14.92,40,802,Clouds,scattered clouds,03d,
25,1708707600,9.91,6.77,1007,78,8.3,11.05,7.2,310,12.35,40,802,Clouds,scattered clouds,03d,
26,1708711200,9.99,7.34,1006,80,8.03,11.05,5.66,290,,40,802,Clouds,scattered clouds,03d,
27,1708714800,9.47,6.06,1007,76,7.1,11.05,7.72,300,12.86,40,802,Clouds,scattered clouds,03n,
28,1708718400,8.67,5.02,1007,81,7.1,9.94,7.72,310,13.89,40,802,Clouds,scattered clouds,03n,
29,1708722000,8.0,2.52,1008,83,6.55,9.38,15.43,300,25.21,40,802,Clouds,scattered clouds,03n,
30,1708725600,8.18,3.85,1008,83,6.55,9.4,9.77,310,20.06,40,802,Clouds,scattered clouds,03n,
